entityid,secteur,code,cepage,commune,date,sucres,acidite_totale,ph,indice,acide_tartrique,potasse,azote_amm
59d62300-c980-415a-bd52-c5ac7421562f,Maconnais,DUF,Gamay,St.Amour,27-août-09,221,6,8,3,19,36,34
17655dad-d456-40b4-ac34-ed800fae2cfc,Maconnais,LEB,Gamay,St.Amour,27-août-09,214,6,43,3,19,33,28
ce57ad70-fedc-4d82-958d-857b04a5b41e,Couchois,ES1,Pinot,St.Maurice-les-Couches,27-août-09,179,6,6,3,7,27,12
24f3f16b-423c-4379-ad5e-2d473adb2465,Couchois,ES2,Pinot,St.Sernin-du-Plain,27-août-09,159,9,13,3,2,17,41
1930475d-8242-419d-8a38-48118cde66e1,Maranges,ES3,Pinot,Cheilly-les-Maranges,27-août-09,156,8,58,3,18,18,7
65d59439-11da-4bf3-a2e7-6f1e275a0138,Maranges,ES4,Pinot,Cheilly-les-Maranges,27-août-09,172,7,74,3,3,22,22
b258d27a-47e4-4344-badc-eee8ad545f6f,Maconnais,BRE,Chardonnay,Fuissé,31-août-09,180,7,25,3,8,24,82
134005ae-3811-47fa-bbd2-6be73d2b7036,Maconnais,BUR,Chardonnay,Fuissé,31-août-09,184,5,79,3,23,31,77
0e42cd0f-36d7-4837-bf2a-abcbd598de38,Maconnais,FER,Chardonnay,Fuissé,31-août-09,189,6,19,3,14,30,53
a8b99a72-0587-4fa2-8cd3-4d766306f27a,Maconnais,VIN,Chardonnay,Fuissé,31-août-09,199,5,27,3,18,37,76
e3756ad9-8862-4f14-a40d-2fa73cfeb08a,Maconnais,ADO,Gamay,St.Amour,31-août-09,229,6,21,3,6,36,87
2051e837-8ef3-46bf-bf3a-f12f81bf831c,Maconnais,AUF,Gamay,St.Amour,31-août-09,217,5,43,3,17,39,96
d8312607-c46c-40d2-ac68-61e10acb6c78,Maconnais,DUF,Gamay,St.Amour,31-août-09,228,6,14,3,1,37,13
89204d04-0e79-41bf-b1d6-24a1d8c5134e,Maconnais,LEB,Gamay,St.Amour,31-août-09,224,6,24,3,11,35,89
8ba7acc0-3d56-4a6d-81e3-9ec7e9cb9ed7,Couchois,ES1,Pinot,St.Maurice-les-Couches,31-août-09,187,6,66,3,5,28,7
b190fb52-0d0c-4681-a5e3-79f5455cf19b,Couchois,ES2,Pinot,St.Sernin-du-Plain,31-août-09,177,8,37,3,2,21,14
7fd2bb31-640f-435d-80cd-740cb14b23dc,Maranges,ES3,Pinot,Cheilly-les-Maranges,31-août-09,186,7,42,3,2,25,6
2ff8107c-9810-4353-99ed-d47922eddb53,Maranges,ES4,Pinot,Cheilly-les-Maranges,31-août-09,188,7,7,2,98,24,41
7663d592-d958-4f25-a81a-060457e61b55,Maconnais,BRE,Chardonnay,Fuissé,03-sept-09,205,6,4,3,19,33,94
dac1889b-74d5-443d-b856-84b85b18022c,Maconnais,BUR,Chardonnay,Fuissé,03-sept-09,183,5,46,3,31,33,51
a5ce8ce6-63fe-444d-b013-2f0cad49085b,Maconnais,FER,Chardonnay,Fuissé,03-sept-09,192,5,85,3,14,32,82
a6c8fada-37c3-48a0-bd94-2319753ef8d4,Maconnais,VIN,Chardonnay,Fuissé,03-sept-09,206,4,81,3,21,42,82
ce2226f6-b861-470c-b055-ddb21d9bdf83,Maconnais,ADO,Gamay,St.Amour,03-sept-09,216,6,11,3,15,35,35
49ebcf71-b6b7-4f7c-b8bb-f74bc9a9309d,Maconnais,AUF,Gamay,St.Amour,03-sept-09,210,5,73,3,24,36,64
